missile | n.导弹,发射物
missing | adj.不见的,缺少的
mission | n.使命,任务,使团,代表团
mist | n.薄雾
misunderstand | vt.误解,误会
mixture | n.混合,混合物,混合剂
mobile | adj.可移动的,易变的,机动的;n.运动物体
moderate | adj.中等的,适度的,适中的;v.缓和
modest | adj.谦虚的,谦让的,适度的
modify | vt.更改,修改;v.修改
moist | adj.潮湿的;n.潮湿
moisture | n.潮湿,湿气
mold | n.模子,铸型;vt.浇铸,塑造
molecule | n.[化]分子,些微
monitor | n.班长,监听器,监视器,监控器;vt.监控;v.监控
monument | n.纪念碑
mood | n.心情,情绪,语气,状态
moral | adj.道德(上)的,精神的;n.道德
moreover | adv.而且,此外
mosquito | n.蚊子
motion | n.运动,动作;v.运动
motivate | v.激发
motive | n.动机,目的;adj.发动的,运动的
motor | n.发动机,电动机
mould | n.[亦作mold]肥土,壤土,[亦作mold]霉,模具;v.用土覆盖,发霉,铸造
mount | n.乘用马,衬纸,山,装配;vi.乘马,爬上,增长;vt.爬上,使上马,装上,设置,安放,制作...的标本,上演
mud | n.泥,泥浆,泥泞;abbr.Multi-UserDungeons,多用户网络游戏;abbr.Multi-UserDomuins,多用户领域
mug | n.杯子
multiple | adj.多样的,多重的;n.倍数,若干;v.成倍增加
multiply | v.繁殖,乘,增加
murder | n.谋杀,凶杀;vt.谋杀,凶杀;v.谋杀
muscle | n.肌肉,臂力,(可供食用的)瘦肉,[解]肌
museum | n.博物馆
mushroom | n.蘑菇,<古>暴发户;vi.迅速生长,迅速增加,采蘑菇;adj.蘑菇形的,迅速生长的
musician | n.音乐家
mutual | adj.相互的,共有的
mysterious | adj.神秘的
mystery | n.神秘,神秘的事物
myth | n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法
naked | adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的
namely | adv.即,也就是
nationality | n.国籍,国家,部落,民族,民族性
naturally | adv.自然地
nature | n.自然,自然界,大自然,自然状态,本性,天性,种类
naval | adj.海军的
navigation | n.航海,航空,导航,领航,航行
navy | n.海军
nearby | adj.附近的,邻近的;adv.在附近
necessarily | adv.必要地
necessity | n.必要性,需要,必需品
negative | n.否定,负数,底片;adj.否定的,消极的,负的,阴性的;vt.否定,拒绝(接受)
neglect | vt.忽视,疏忽,漏做;n.忽视,疏忽,漏做
negotiate | v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过
Negro | n.黑人
neighbourhood | n.邻居关系(美作：neighborhood)
nephew | n.侄子,外甥
nerve | n.神经,胆量,勇气,叶脉;vt.鼓起勇气
nest | n.巢,窝,休息所,隐匿处,舒适的地方,(可以一个套一个的)一套器具;vi.筑巢,找鸟巢;vt.造巢,使套入
network | n.网络,网状物,广播网
neutral | n.中立者,中立国,非彩色,齿轮的空档;adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的
nevertheless | conj.然而,不过;adv.仍然,不过
niece | n.侄女,甥女
nightmare | n.梦魇,恶梦,可怕的事物
nitrogen | n.[化]氮
nonsense | n.胡说,废话
normal | n.正规,常态,[数学]法线;adj.正常的,正规的,标准的
normally | adv.正常地,通常地
notebook | n.笔记簿,笔记本
noticeable | adj.显而易见的,值得注意的
notify | v.通报
