rangers	,护林员
measurement	,度量，,测量
voluntary	,志愿的
darkroom	,暗室
reflective	,反馈的
portfolio	,资料
fireplaces	,壁炉
priority	,优先
verbalization	,冗长
nest	,巢穴
evaporation	,蒸发
hive	,蜂房
conservation	,保护
networkers	,网络人员
ecosystem	,生态系统
flexibility	,灵活性
forestry	,林业
literature	,文学
regulator	,校准器
hammer	,锤子
incubator	,孵化器
workforce	,工作力
attachment	,附件
stable	,稳定的，,马圈
journal	,杂志
confidence	,信心
craftwork	,工艺品
internship	,实习
workload	,工作量
appendices	,附件
recreational	,休闲的
mating	,交配
fabric	,织物
cardiovascular	,心血管的
feasibility	,可行性
evaluation	,预估
collaborative	,合作的
simulation	,仿真，,模拟
coverage-lettering	,新闻报道字体
precision	,精密度
originality	,创意，,独创性
objective	,客观的
pesticide	,杀虫剂
fuels	,燃料
weight	,重量
respondents	,回复者
relevant	,相关的
discipline	,学科，,纪律
reliance	,依赖
ink	,墨水
tourists	,游客
farming	,耕作
sample	,样本
village	,村子
occupants	,居住者
referee	,裁判
limitations	,限制
connectives	,连接词
journalists	,记者
publication	,出版物
informality	,非正式
informative	,告知的
ideal	,理想的
ascent	,上升
summit	,山峰，,首脑会议
firewood	,柴火
stormy	,暴风雨的
proportion	,比例
dimension	,维度
upheaval	,剧变
adaptable	,可适应的
evolutionary	,进化论的
cognitive	,认知
commitment	,承诺
anatomy	,解剖
counterpart	,对应部分
sensitive	,敏感的
adaptation	,适应
implication	,含义
novice	,新手
potential	,潜在的
annual	,每年的
dismissive	,轻蔑的
adaptability	,适应性
pigeon	,鸽子
specimen	,标本
inclusion	,包含
hibernation	,冬眠
hormone	,荷尔蒙
squirrel	,松鼠
satisfaction	,满意度
chronological	,按时间顺序的
distracting	,分散注意的
semantic	,语义的
episodic	,情节的
strategy	,策略
diploma	,文凭
profile	,个人简历
awful	,可怕的
syndrome	,综合征
quotations	,报价单
amusements	,娱乐活动
justice	,正义
heroine	,女主角
guardian	,监护人
debtors	,债务人
traits	,特质
stereotypes	,刻板印象
robust	,强大的
consensus	,共识
sibling	,兄弟姐妹
nightmare	,噩梦
envious	,嫉妒的
sociable	,善于交际的
harsh	,严厉的
accurate	,准确的
status	,状态
processes	,流程
rivalry	,对抗
annoying	,烦人的
refrigeration	,冷藏
straw	,稻草
