generous | adj. 慷慨的，宽厚的；大量的
crush | vt. 压碎，碾碎；镇压
combine | n. 联合企业（或团体）；联合收割机 v. 结合，联合；化合
snatch | n. 片断 vt. 夺，夺走；一下子拉，一把抓住；抓住机会做，抽空做 vi. 一把抓住【考】snatch up 一把抓住；snatch at 理解，明白
propagate | v. 繁殖，增殖；传播，宣传，（使）普及
urge | n. 冲动，强烈的欲望 vt. 鼓励；推进，催促；竭力主张，强烈要求【考】urge sb. to do sth. 催促某人做某事
circumstance | n. 情况，条件；境遇；
utilize | vt. 利用
equip | vt. 装备，配备；（智力、体力上）使有准备
contradict | vt. 反驳，否认…的真实性；与…发生矛盾，与…抵触
deport | vt. 把…驱逐出境
quartz | n. 石英
consumption | n.消费
versus | prep. 以…为对手；与…相对，与…相比之下
disable | vt. 丧失能力，伤残
orient | n. 东方，亚洲
estimate | n. 估计，评价，看法 vt. 估计，评价
miniature | n. 微小的模型，缩影；微型画，微型人物像 adj. 小型的，微小的
ferry | n. 渡船 vt. 渡运
distract | vt. 转移（注意力），使分心
owl | n. 猫头鹰
irony | n. 反话，冷嘲；具有讽刺意味的事，嘲弄
venture | n. 风险投资，（商业等的）风险项目 vt. 拿…冒险，敢于 vi. 冒险，大胆行事
contrive | vt. 谋划，策划；设法做到；设计，想出
accelerate | vt. （使）加快，（使）增速
enroll | vt. 招收，吸收 vi. 入学，加入【考】enroll
constrain | vt. 限制，约束；克制，抑制
refreshment | n.茶点，点心
utmost | n. 极限 adj. 最远的
vent | n. 通风口，排放口；（衣服底部的）开衩 vt. 表达，发泄（情感等）【考】give vent to 表达，发泄（感情等）
council | n. 理事会，委员会
sacrifice | n./v.牺牲，舍身
consult | vt. 请教；查阅；商议
penguin | n. 企鹅
efficiency | n. 效率；功效，效能
assignment | n. 任务，指定的作业；分配，指派
bronze | n. 青铜；青铜色，古铜色；青铜（艺术）制品；铜牌
sake | n. 缘故，理由【考】for the sake of 为了…起见，看在…的份上
vacant | adj. 空的，未被占用的；（职位、工作等）空缺的；（神情等）茫然的，（心灵）空虚的
sensible | adj. 明智的；合情理的
humble | vt. 使谦恭，使卑下 adj. 谦逊的；地位低下的；简陋的
illusion | n. 幻想；错误的观念；错觉，幻觉，假象
definition | n. 定义，释义，定界；清晰（度），鲜明（度）
anxiety | n. 焦虑，忧虑；渴望，热望
vain | adj. 徒劳的；自负的【考】in vain 徒劳，无效
courtesy | n. 谦恭有礼；有礼貌的举止（或言词）【考】(by) courtesy of 蒙…的好意（或准许），蒙…提供（或赠送）
authentic | adj.权威的
ivory | n. 象牙；象牙色，乳白色
pearl | n. 珍珠；珠状物；珍品
comprehension | n. 理解，理解力，领悟；理解力测验
slap | n./vt 掌击
valid | adj. 有效的，正当的；有根据的，有理的
boom | n. （营业等的）激增，（经济等的）繁荣，迅速发展；隆隆声，嗡嗡声 vi. 激增，繁荣，迅速发展；发出隆隆声
bacteria | n. 细菌
deem | vt. 认为，视为
overwhelming | adj. 势不可挡的，压倒的；巨大的
rebel | n. 反叛分子，反对者 vi. 反叛，造反；反对，不服从
murmur | n./vi 小声说话，小声抱怨
occupation | n. 占领，占据；职业；（人）从事的活动，消遣
minimize | vt. 使减少（或缩小）到最低限度；极力贬低，对…作最低估计
employment | n. 工作，雇用；使用
valve | n. 阀，活门；（心脏的）瓣膜，（管乐器的）活瓣
patent | n. 专利，专利权 vt. 得到…的专利权 adj. （有关）专利（权）的，受专利保护的；
gasp | n. 喘气，喘息，倒抽气 vt. 喘着气说出（或发出） vi. 喘气，喘息，倒抽气
spine | n. 脊柱，脊椎；（动、植物的）刺，刺毛；书脊
process | n. 过程；制作法；（法律）程序 vt. 加工；办理
masculine | adj. 男性的，男子的；男子气的
accessory | n. 附件，零件，配件；
explore | v. 探险，探索；仔细查阅，探究
furious | adj. 狂怒的，暴怒的；强烈的，激烈的
van | n. 大篷车，运货车
variation | n. 变化，变动；变异；变奏（曲）
masterpiece | n. 杰作
chorus | n. 合唱队；合唱；合唱曲；副歌，叠句；齐声，齐声说的话（或发出的喊声） vt. 齐声说，随声附和
accord | n. 一致，符合；（尤指国与国之间的）谅解，协议 v. 相符合，相一致，相和谐；授予，赠与，给予【考】with one accord 一致地；in accord with 按照，根据，与…一致
