crawl | vi.爬行,蠕动,徐徐行进;n.爬行,蠕动,缓慢的行进
create | vt.创造,创作,引起,造成
creative | adj.创造性的
creature | n.人,动物,傀儡,创造物
credit | n.信任,信用,声望,荣誉,[财务]贷方,银行存款:vt.相信,信任,把...归给
creep | vi.爬,蹑手蹑脚,蔓延
crew | n.全体人员,(工作)队;vbl.crow的过去式
crime | n.犯罪,犯罪行为,罪行,罪恶
criminal | n.罪犯,犯罪者;adj.犯罪的,犯法的,罪恶的
crisis | n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期
critic | n.批评家,评论家,吹毛求疵者
critical | adj.评论的,鉴定的,批评的,危急的,临界的
criticism | n.批评,批判
criticize | v.批评,责备
crossing | v.横越;n.横越,交叉口
crowd | n.人群,群众,一堆(东西),一伙;v.群集,拥挤,挤满
crown | n.王冠,花冠,顶;vt.加冕,顶上有,表彰,使圆满完成
crucial | adj.至关紧要的
crude | adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的;n.天然的物质
cruise | vi.巡游,巡航;n.巡游,巡航
crush | vt.压碎,碾碎,压服,压垮,粉碎,(使)变形
crust | n.外壳,硬壳,面包皮;vt.盖以硬皮;vi.结硬皮
crystal | adj.结晶状的;n.水晶,水晶饰品,结晶,晶体
cube | n.立方体,立方
cue | n.暗示,提示,球杆
cultivate | vt.培养,耕作
culture | n.文化,文明
cupboard | n.食橱,碗碟橱
curiosity | n.好奇心
curious | adj.好奇的,求知的,古怪的,爱挑剔的
curl | v.(使)卷曲
currency | n.流通
current | adj.当前的,通用的,流通的,现在的,草写的,最近的;n.涌流,趋势,电流,水流,气流
curriculum | n.课程
curse | n.诅咒,咒语,祸根,祸因;vt.诅咒,咒骂,降祸,使受罪
curtain | n.窗帘,门帘;v.装上门帘
curve | n.曲线,弯曲,[棒球]曲线球,[统]曲线图表;vt.弯,使弯曲;vi.成曲形
cushion | n.垫子,软垫,衬垫;v.加衬垫
cycle | n.周期,循环,自行车,一段时间,整套,(电学)周波;vi.循环,轮转,骑自行车;vt.使循环,使轮转
dairy | n.牛奶场,奶品场,售牛奶,奶油,鸡蛋等的商店,奶制品
dam | n.水坝,障碍;v.控制,筑坝
damn | v.谴责
damp | n.湿气;adj.潮湿的;vt.使潮湿,阻尼,使衰减,使沮丧,控制,抑止
dash | n.少量(搀加物),冲撞,破折号,锐气,精力,干劲;vi.猛掷,冲撞;vt.泼溅,使猛撞,搀和,使破灭,使沮丧,匆忙完成
data | n.datum的复数,[计]资料,数据
daylight | n.日光,白昼,白天
deadline | n.最终期限
deaf | adj.聋的
debate | v.争论,辩论;n.争论,辩论
debt | n.债务,罪过
decade | n.十年,十
decay | vi.腐朽,腐烂,衰减,衰退;n.腐朽,腐烂,衰减,衰退;v.衰落
deceive | v.欺骗,行骗
decent | adj.正派的,端庄的,有分寸的,(服装)得体的,大方的;adj.<口>相当好的、象样的
deck | n.甲板,舰板,覆盖物,一副(纸牌);vt.装饰,修饰,打扮,装甲板
declaration | n.宣布,宣言,声明
decline | vi.下倾,下降,下垂;v.拒绝,衰落;n.下倾,下降,下垂,斜面,斜坡,衰败,衰落
