today | adv/n. 今天
family | n.家；家庭成员：子女：家族：氏族
lunch | n. 午餐
gentlemen | n. 有教养的人， 彬彬有礼的人；先生，男士
himself | pron. 他自己：他亲自，他本人
who | pron. 谁， 什么人：…的人；他， 她， 他们
sand | n.沙；【pl.】沙滩，沙地v，用砂纸磨光
accessory | n. 附件，零件，配件；（妇女手提包之类的）装饰品
fit | v. 合适，合身；安装，安放；相称，相协调 ；adj 相称的，适合的；健康的，强健的
character | n.性格；特色，特性；人物，角色；（书写或印刷）符号，（汉）子
study | v. 学习；研究，调查；细查，仔细端详 ；n 学习；研究，调查，研究成果；书房
disable | adj. 有残疾的
turn | v. 转动，旋转；扭转，（使）转向；（使）变化，（使）变成 ；n 转向，转动；轮流，轮班
expect | v 预期；指望，盼望；要求
pair | n. 一双，一对，一副；一对夫妇，一对情侣；v（使）成对，（使）配对
keen | adj. 热心的；激烈的；敏锐的
video | n 录像；录像带;  adj录像的 ；v 制作…的录像
semester | n 学期
just | adv. 正好，恰恰正是；只是，仅仅；刚才；确实，真正地、；非常；勉强地 ；adj 正义的，公正的；恰当的，应得的
theme | n.主题，题目；【音】主旋律
tomorrow | adv. （在）明天 ；n 明天;来日，未来
boil | v. 沸腾，煮沸； n 沸腾
noodle | n. 面条
beat | v.（接连地）打，击，敲；打败，胜过；（心脏等）跳动；n （心脏等的）跳动（声)；有节奏的敲击声；(音乐的)拍子，节拍
lifestyle | n 生活方式
pop | v 发出砰的一声；射击；（突然）冒出；n 流行音乐；砰的一声；adj 流行的，通俗的
leaf | n.叶，叶子；（书刊的）张，页；薄金属片
right | adj. 正确的；正当的，公正的；右边的；合适的；健康的，正常的；直（角）的；adv 对，正确地；合适地，恰当地；正当地，公正地；正好，完全；直接地，径直地；往右，向右；int 好，行；n 权利，法权；正确，正当；右面
excellent | adj. 优秀的，卓越的，杰出的
heat | n. 热，炎热；体温，热度；激动；激烈；v 加热，（使）变热
society | n 社会；阶层；社交界；协会
polite | adj. 有礼貌的，客气的；有教养的，文雅的
shop | n.商店，店铺；工厂，车间
chip | n. 碎片；芯片 v削（或凿）下（屑片或碎片）
letter | n. 信，函件；字母
london | n. 伦敦
start | v. 发动；创办，开办；开始，着手；动身，出发；吃惊，惊奇；n 开端，起点；吃惊，惊奇
resolution | n 正式决定，决议；坚决，决心；解决，解答；分辨率，清晰度
predict | v. 预言，预测
date | n.日期，日子；时期，年代；约会，约会的对象；枣；v 给…注明日期；确定…的年代；与…约会
although | conj. 虽然，尽管；然而
unusual | adj. 不平常的，少有的；独特的，与众不同的
answer | n. 回答，答复；答案，解决办法；v 回答，答复；解答，解决（问题）；（对…）做出反应，响应
ture | adj 真实的，确实的；真正的，真的；忠诚的，忠实的；准确的，精确的
porridge | n 粥，麦片粥
style | n 风格，文体；样式，类型；流行样式，时尚
flat | adj 平的，平坦的；（价格）固定的，（收费）统一的；单调的，沉闷的；扁平的，浅的；n 一套房间，公寓套房 adv 平直地；直截了当地，断然地
ruler | n. 统治者，支配者；（直）尺
whenever | conj. 无论何时，随时；每当
Yang | n. 阳
cousin | n.堂（表）兄弟，堂（表）姐妹
dumpling | n 饺子
attendant | n 服务人员，侍者；随从；adj 伴随的，随之而产生的
sock | v. 重击，痛打 n [pl]短袜
tired | adj. 疲劳的，累的；厌倦的，厌烦的
manage | v. 管理，控制；操纵，应付；设法做到
traditional | adj. 传统的，惯例的；口传的，传说的
then | n/adv. 当时，在那时；那么，因而；然后，于是
