caravan	,房车
navigation	,导航
demonstration	,演示
candles	,蜡烛
canteen	,食堂
intermediate	,中级的
vegetarian	,素食主义者
campsite	,野营点
helicopter	,直升机
donations	,捐赠
moonlight	,月光
mid-range	,中等距离
warehouse	,仓库
double-grill	,双层烤架
researcher	,研究员
website	,网站
charge	,充电，,冲锋，,费用
access	,使用
bills	,账单
waitress	,女服务生
excursion	,远足
duration	,持续
elevator	,电梯
postage	,邮费
signature	,签字
liberty	,自由
adventure	,冒险
automatic	,自动的
painkillers	,止痛药
sailing	,远航
keyboard	,键盘
transit	,运输
enjoyable	,令人愉快的，,好玩的
snowboarding	,滑雪
landscape	,风景
helmet	,头盔
mask	,面具
moderate	,温和的，,中度的
ladder	,梯子
concentration	,注意力
categories	,分类，,类别
variable	,变化的
sauna	,桑拿
child-minding	,育儿
racket	,球拍
coach	,车厢
handles	,把手
nylon	,尼龙
package	(,话费，,旅游等),套餐
receipt	,收据
waterfall	,瀑布
partner	,伙伴
voucher	,代金券
gym	,健身房
laptop	,笔记本电脑
yoga	,瑜伽
knife	,刀
neck	,脖子
mat	,垫子
container	,容器
buffet	,自助餐
enlargement	,扩大
studio	,工作室
critic	,批评家
zoom	,变焦
lens	,镜头
infrastructure	,基础设施
electricity	,电
resort	,旅游胜地
infection	,传染，,感染
fountain	,喷泉
vest	,马甲
qualification	,资格
poverty	,贫穷
expectation	,期望
glue	,胶水
font	,字体
reliable	,可靠的
violin	,小提琴
manufacturing	,制造
outfit	,服装
shade	,阴影，,树荫
myth	,神话
harvested	,收获的
opened	,打开的
cleaned	,干净的，,已清洁的
expanded	,扩大的
cooled	,冷却的，,冷却
sealed	,密封的，,密封
segment	,部分
disability	,残疾
spine	,脊柱
pest	,害虫
laundry	,洗衣
survey	,调查
rape	,强奸
pegs	,钉桩，,钉子
scaffold	,脚手架
hazel	,榛子
portrait	,肖像
symbolism	,象征主义，,象征意义
mud	,泥土
certificate	,证书
liquids	,液体
plastic	,塑料
storage	,存储
Sweden	,瑞典
grocery	,杂货店
socialise	,社交
lemon	,柠檬
congratulations	,祝贺
pump	,泵
