education	,教育，培养
educational	,有教育意义的
secondary	,第二的；次要的
major	,专业
discipline	,纪律，学科
applied	,应用的
anthropology	,人类学
anthropologist	,人类学家
sociology	,社会学
biology	,生物学
biologist	,生物学家
microbiology	,微生物学
biological	,生物学的
physiology	,生理学
psychology	,心理学
psychologist	,心理学家
psychological	,心理学的
mining	,采矿
physical	,身体的
mathematics	,数学
arts	,文科
market	,市场
marketing	,市场营销
science	,科学，理科
philosophy	,哲学
geography	,地理
geographical	,地理学的
photojournalism	,摄影新闻学
history	,历史
historian	,历史学家
historical	,历史的
astronomy	,天文学
astrology	,占星术
media	,媒体
language	,语言
linguistics	,语言学
politics	,政治
physics	,物理学
statistics	,统计学
economics	,经济学
economy	,经济
economic	,经济的
economical	,节约的
psycholinguistics	,心理语言学
environment	,环境
environmental	,环境的
environmentally-friendly	,环保的
chemistry	,化学
management	,管理
archaeological	,考古学的
archaeology	,考古学
accountancy	,会计学
accounting	,会计学
computer	,电脑
literature	,文学
engineering	,工程学
architecture	,建筑学
business	,商业
law	,法学
finance	,金融
banking	,银行学
musician	,音乐家
musical	,音乐的
Oxford	,牛津
Cambridge	,剑桥
college	,学院
review	,复习
learning	,学习
Trinity	,三一学院
Wollongong	,卧龙岗
humans	,人类
modern languages	,现代语言
mental education	,思想教育
education system	,教育制度
children's education	,儿童教育
monopoly of education	,教育垄断
an educational film	,有教育意义的影片
applied science	,应用科学
children's psychology	,儿童心理学
psychological patients	,心理有病的人
psychological course	,心理课
psychological factors	,心理因素
physical education	,(P.E.)体育课
mining industry	,采矿业
fine arts	,美术
financial markets	,金融市场
market economy	市场经济
market cycle	,市场周期
market research	,市场调查
market share	,市场份额
marketing department	,市场部
marketing techniques	,销售技巧
marketing strategy	,市场策略
marketing research	,销售调研
marketing management	,销售管理
marketing seminar	,市场营销研讨会
School of Arts and Sciences	,文理学院
social science	,社会科学
life science	,生命科学
geographic location	,地理位置
trading history	,贸易历史
local history	,当地历史
medical history	,病史
economic history	,经济学史
mass media	,大众传媒
media room	,媒体室
media center	,媒体中心
media studies	,媒体研究
language skill	,语言技能
same language	,同样的语言
politics and media	,政治和媒体
peaceful environment	,平和的环境
respect the local environment	,保护当地环境
environmental studies	,环境学
environmental science	,环境科学
environmental engineering	,环境工程
environmental issues	,环境问题
adapt to the environment	,适应环境
time management	,时间管理
money management	,理财课
stress management	,压力管理
bad management	,管理不善
time management skill	,时间管理能力
computer science	,电脑科学
computer program	,电脑程序
computer programmer	,电脑程序员
in chemistry lab	,在化学实验室
review of literature	,文献综述
traditional literature	,传统文学
planet science	,行星科学
University of Cambridge	,剑桥大学
higher education	,高等教育
tertiary education	,高等教育
global listening	,整体听力
global market	,全球市场

