code	,密码
maximum	,最大的，最多的
coconut	,椰子
mould	,模具
elastic	,有弹性的
vertical	,垂直的
accountable	,有责任的
decisions	,决定
seasonal	,季节的
herds	,群
clay	,土
eco-cement	,生态水泥
nuts	,坚果
arrows	,箭头
spears	,矛
concentrated	,集中的
shipping	,运输
germs	,细菌
corn	,玉米
insects	,昆虫
coastline	,海岸线
critical	,批判的，至关重要的
cognition	,认识
emotion	,感情，情绪
intelligence	,情报，智力
connected	,连接的
self-centred	,自我的
passive	,消极的，,被动的
stimulation	,剌激，,鼓励
lid	,盖子
gravity	,重力
stems	,茎
obstacles	,障碍，障碍物
seminar	,研讨会
drought	,干旱
erosion	,腐蚀
digestion	,消化
furniture	,家具
retail	,零售
maturity	,成熟
postal	,邮政的
self-evaluation	,自我评估
random	,随机的
cost-effective	,性价比高的
navigate	,导航，辨识方向
genetic	,基因的
density	,密度
triangle	,三角
cliffs	,悬崖
comprehension	,理解
irrigation	,灌溉
contaminants	,污染物
soldiers	,士兵
concrete	,混凝土
lifespan	,寿命
therapy	,疗法理疗
temperature	,温度
fluids	,液体
kidney	,肾
portable	,便携的
excitement	,激动
mammal	,哺乳动物
breathe	,呼吸
pollutants	,污染物
guidelines	,方针政策
mapping	,映射，,制图
calculator	,计算器
perfumes	,香水
exploration	,探索
toothache	,牙痛
pirates	,海盗
powder	,粉
cosmetics	,化妆品
carpets	,地毯
tunnel	,隧道
packaging	,打包
worms	,虫子
odor	,气味
butterflies	,蝴蝶
bacteria	,细菌
protein	,蛋白质
migration	,迁徙
morality	,道德
situational	,环境造成的
amber	,唬珀
tolerance	,容忍
contribution	,贡献
humidity	,潮湿度
tuna	,金枪鱼
gill	,鲤
cables	,电缆
oyster	,牡蛎
guessing	,推测
relaxation	,放松
literacy	,读写能力
predators	,捕食者
molt	,脱毛
diversity	,多样性
cement	,水泥
peers	,同龄人
rational	,理性的
willing	,意愿的
instinct	,天性，本能
reward	,报酬
boiler	,水壶
drawback	,缺点
obligation	,义务
responsibility	,责任
rags	,破布
rainbow	,彩虹
desert	,沙漠
lizard	,蜥蜴
institution	,机构
shrimps	,虾
ultraviolet	,紫外线
bubble	,气泡
passion	,激情
responsible	,负责的
landmarks	,路标
robots	,机器人
psychology	,心理学
varied	,变化的，多种多样的
planet	,星球
ethnics	,人种学，少数民族
nomad	,游牧民族
camel	,骆驼
slaves	,奴隶
lighting	,灯光
fossil	,化石
repellent	,驱虫剂
odd	,古怪的
factual	,事实的
purple	,紫色
consolidation	,巩固
conscious	,有意识的
auditory	,听觉的
symptom	,症状
medication	,药物，药品，药物治疗
intimate	,亲密的
teaspoon	,茶匙
beetroot	,甜菜根
retrieval	,检索
prompt	,促使，激励；迅速的，敏捷的
impairment	,损害
autism	,自闭症
autistic	,患自闭症的
textile	,纺织品，纺织
long-lasting	,持久的
poisonous	,有毒的
medal	,奖章
additive	,添加剂
ingredient	,成分
consumer	,消费者
