leadership | n.领导能力,领导阶层
leading | adj.领导的,第一位的,最主要的
leak | n.漏洞,漏出,漏出物,泄漏,<俚>撒尿;vi.漏,泄漏;vt.使渗漏
lean | n.倾斜,倾斜度,倚靠,倾向;adj.瘦的,贫乏的,歉收的;vi.倚靠,倾斜,依赖,倾向,偏向;vt.使倾斜
leap | v.跳,跳越,跳跃;n.跳跃,飞跃
learned | adj.有学问的,学术上的
learning | n.知识,学问,学习,学
lease | n.租借,租约,租赁物,租期,延续的一段时间;vt.出租,租出,租得
leather | n.皮革,皮革制品
legal | adj.法律的,法定的,合法
legislation | n.立法,法律的制定(或通过)
leisure | n.空闲,闲暇,悠闲,安逸
lemon | n.柠檬;adj.柠檬色的
lens | n.透镜,镜头
lest | conj.唯恐,以免,免得,(用于fear,beafraid之后,等于that)
liable | adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的
liberal | n.自由主义者,(尤指英国、加拿大等国的);adj.慷慨的,不拘泥的,宽大的,自由主义的
liberate | v.解放,释放
liberty | n.自由,特权,随意,冒失,冒昧,失礼
librarian | n.图书馆员,图书管理员
license | n.许可(证),执照;vt.许可,特许;v.许可
lick | n.舔,少许,打;vt.舔,卷过,鞭打,克服,征服;vi.轻轻拍打
lid | n.盖子,<美口>限制,眼睑;vt.给...盖盖子
lightning | n.闪电;(“闪电”)英国第一种超音速喷气式战斗机，英60年代的主力机种。
likely | adj.很可能的,合适的,可靠的,有希望的;adv.或许,很可能
likewise | adv.同样地,照样地,又,也;n.同样地
limb | n.肢,翼,分支
limitation | n.限制,局限性
limited | adj.有限的,狭窄的,缺乏创见的;n.高级快车
link | n.链环,连结物,火把,链接;vt.连结,联合,挽;vi.连接起来
liquid | n.液体,流体,流音;adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的
liquor | n.液体,汁，酒精饮料,[药]溶液;vt.浸水;vi.喝酒
liter | n.公升
literary | adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的
literature | n.文学(作品),文艺,著作,文献
liver | n.居住者，生活优裕的人，肝脏
living-room | n.客厅,起居室
loaf | n.一条面包,块,游荡;v.游荡,虚度光阴
loan | n.（借出的）贷款,借出;v.借,借给
lobby | n.大厅,休息室,<美>游说议员者;vi.游说议员,经常出入休息室;vt.对(议员)进行疏通
local | adj.地方的,当地的,局部的,乡土的;n.当地居民,本地新闻,慢车,局部
locate | vt.查找...的地点,使...坐落于,位于;v.定位,位于
location | n.位置,场所,特定区域，<美>[电影]外景拍摄场地
lodge | n.门房,(猎人住)山林小屋,(游览区)旅馆,(地方社团)集会处;vi.临时住宿,寄宿(某人家);vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)
log | n.航行日志,原木,园形木材,园木;v.把...记入航行日志,伐木,把...锯成段
logic | n.逻辑,逻辑学,逻辑性
logical | adj.合乎逻辑的,合理的
loop | n.环,线(绳)圈,弯曲部分,回路,回线,(铁路)让车道,(飞机)翻圈飞行;vt.使成环,以圈结,以环连结;vi.打环,翻筋斗;n.循环
loose | n.解放,放任,放纵;adj.宽松的,不精确的,不牢固的,散漫的,自由的;vt.释放,放枪,开船;vi.变松,开火;adv.松散地
loosen | v.解开,放松,松开
lord | n.封建领主,地主,统治者,[宗]上帝;vi.称王称霸,作威作福;vt.使成贵族
lorry | n.<古>卡车,铁路货车
lover | n.爱人,爱好者,情人
lower | adj.较低的,下级的,下等的,下游的;vi.降低,跌落,减弱;vt.放下,降下,减弱,贬低
loyal | adj.忠诚的,忠心的
loyalty | n.忠诚,忠心
lucky | adj.幸运的,吉祥的,侥幸的
luggage | n.行李,皮箱
lump | n.块（尤指小块）,肿块,笨人;vt.使成块状,混在一起,忍耐,笨重地移动;vi.结块
lung | n.肺,呼吸器,肺脏
luxury | n.奢侈,华贵
machinery | n.[总称]机器,机械
magic | n.魔法,巫术,戏法;adj.魔术的,有魔力的,不可思议的
magnet | n.磁体,磁铁
magnetic | adj.磁的,有磁性的,有吸引力的
magnificent | adj.华丽的,高尚的,宏伟的
maid | n.少女,女仆
mainland | n.大陆
maintain | vt.维持,维修,继续,供养,主张
maintenance | n.维护,保持,生活费用,扶养
